condition,split,sign,structural_cohort,q8,feature,feature_group,n_proteins,n_selected_segments,n_control_segments,selected_macro_protein_mean,control_macro_protein_mean,selected_minus_control_macro_mean,ci95_low,ci95_high,inference_eligible,wilcoxon_p_two_sided,wilcoxon_q_bh,reference_80_effect,effect_difference_from_reference,effect_direction_preserved
esm2_top4_bilstm_attn,train,-1,reference_80,C,mean_contact_degree,contact_network,7,7,103,6.528571428571429,5.853002032474082,0.6755693960973465,,,False,,,0.6755693960973465,0.0,True
esm2_top4_bilstm_attn,train,-1,reference_80,C,mean_inverse_distance_weighted_degree,contact_network,7,7,103,1.0631198735456415,0.9424632787289856,0.12065659481665605,,,False,,,0.12065659481665605,0.0,True
esm2_top4_bilstm_attn,train,-1,reference_80,C,mean_betweenness,contact_network,7,7,103,0.022382458645332632,0.01467940557549108,0.007703053069841549,,,False,,,0.007703053069841549,0.0,True
esm2_top4_bilstm_attn,train,-1,reference_80,C,mean_closeness,contact_network,7,7,103,0.19725004707027008,0.1934785824810283,0.0037714645892417747,,,False,,,0.0037714645892417747,0.0,True
esm2_top4_bilstm_attn,train,-1,reference_80,C,mean_ca_curvature_degrees,experimental_pdb_geometry,7,7,103,78.53565477166914,64.49639006073703,14.039264710932114,,,False,,,14.039264710932114,0.0,True
esm2_top4_bilstm_attn,train,-1,reference_80,C,mean_abs_ca_virtual_torsion_degrees,experimental_pdb_geometry,7,7,103,88.34540966255238,113.30736065497267,-24.961950992420263,,,False,,,-24.961950992420263,0.0,True
esm2_top4_bilstm_attn,train,-1,reference_80,C,ca_end_to_end_ratio,experimental_pdb_geometry,5,5,43,0.8670326418678259,0.8355512431222254,0.03148139874560053,,,False,,,0.03148139874560053,0.0,True
esm2_top4_bilstm_attn,train,-1,reference_80,T,mean_contact_degree,contact_network,1,1,13,6.0,4.487179487179487,1.5128205128205128,,,False,,,1.5128205128205128,0.0,True
esm2_top4_bilstm_attn,train,-1,reference_80,T,mean_inverse_distance_weighted_degree,contact_network,1,1,13,1.0063296433894715,0.7147482783353832,0.29158136505408827,,,False,,,0.29158136505408827,0.0,True
esm2_top4_bilstm_attn,train,-1,reference_80,T,mean_betweenness,contact_network,1,1,13,0.0165064637870738,0.010843956789636837,0.005662506997436964,,,False,,,0.005662506997436964,0.0,True
esm2_top4_bilstm_attn,train,-1,reference_80,T,mean_closeness,contact_network,1,1,13,0.2232960413080895,0.1947145766196336,0.028581464688455904,,,False,,,0.028581464688455904,0.0,True
esm2_top4_bilstm_attn,train,-1,reference_80,T,mean_ca_curvature_degrees,experimental_pdb_geometry,1,1,13,81.88886172390386,84.8730121101492,-2.9841503862453465,,,False,,,-2.9841503862453465,0.0,True
esm2_top4_bilstm_attn,train,-1,reference_80,T,mean_abs_ca_virtual_torsion_degrees,experimental_pdb_geometry,1,1,13,66.79015551947782,77.66752188269172,-10.877366363213895,,,False,,,-10.877366363213895,0.0,True
esm2_top4_bilstm_attn,train,-1,reference_80,G,mean_contact_degree,contact_network,1,1,1,4.333333333333333,8.0,-3.666666666666667,,,False,,,-3.666666666666667,0.0,True
esm2_top4_bilstm_attn,train,-1,reference_80,G,mean_inverse_distance_weighted_degree,contact_network,1,1,1,0.7499580010133062,1.3711641223104136,-0.6212061212971074,,,False,,,-0.6212061212971074,0.0,True
esm2_top4_bilstm_attn,train,-1,reference_80,G,mean_betweenness,contact_network,1,1,1,0.0073450088670345,0.0064053315873101,0.0009396772797243998,,,False,,,0.0009396772797243998,0.0,True
esm2_top4_bilstm_attn,train,-1,reference_80,G,mean_closeness,contact_network,1,1,1,0.173862309974921,0.2104533857273021,-0.0365910757523811,,,False,,,-0.0365910757523811,0.0,True
esm2_top4_bilstm_attn,train,-1,reference_80,G,mean_ca_curvature_degrees,experimental_pdb_geometry,1,1,1,90.76457567018404,92.4498320258666,-1.6852563556825544,,,False,,,-1.6852563556825544,0.0,True
esm2_top4_bilstm_attn,train,-1,reference_80,G,mean_abs_ca_virtual_torsion_degrees,experimental_pdb_geometry,1,1,1,53.19444069663967,63.96295063350921,-10.768509936869542,,,False,,,-10.768509936869542,0.0,True
esm2_top4_bilstm_attn,train,-1,reference_80,G,ca_end_to_end_ratio,experimental_pdb_geometry,1,1,1,0.7062794273089334,1.0,-0.29372057269106655,,,False,,,-0.29372057269106655,0.0,True
esm2_top4_bilstm_attn,validation,-1,reference_80,H,mean_contact_degree,contact_network,149,638,642,5.962249631374729,5.689812531958575,0.272437099416154,0.06817245943565034,0.4767017393966577,True,0.006299296214560203,0.009596896475842883,0.272437099416154,0.0,True
