condition,split,sign,q8,n_selected_segments,n_proteins,structure_available_fraction,structure_eligible_fraction,fully_resolved_fraction,strain_available_fraction
esm3_frozen_bilstm_attn,validation,-1,E,304,119,1.0,1.0,1.0,0.0
esm3_frozen_bilstm_attn,validation,-1,G,4,4,1.0,1.0,1.0,0.0
esm3_frozen_bilstm_attn,validation,-1,H,816,182,1.0,0.9987745098039216,0.9926470588235294,0.0
esm3_frozen_bilstm_attn,validation,-1,T,4,4,1.0,1.0,1.0,0.0
esm3_top28_bilstm_attn,test,-1,B,1,1,1.0,1.0,1.0,1.0
esm3_top28_bilstm_attn,test,-1,C,16,13,1.0,1.0,1.0,1.0
esm3_top28_bilstm_attn,test,-1,E,286,119,1.0,0.9965034965034965,0.993006993006993,1.0
esm3_top28_bilstm_attn,test,-1,G,12,11,1.0,1.0,1.0,1.0
esm3_top28_bilstm_attn,test,-1,H,846,188,1.0,1.0,0.983451536643026,1.0
esm3_top28_bilstm_attn,test,-1,T,9,8,1.0,1.0,1.0,1.0
esm3_top28_bilstm_attn,train,-1,C,67,56,0.9850746268656716,0.9850746268656716,0.9850746268656716,0.0
esm3_top28_bilstm_attn,train,-1,E,1399,515,0.995711222301644,0.993566833452466,0.9892780557541101,0.0
esm3_top28_bilstm_attn,train,-1,G,74,69,1.0,1.0,1.0,0.0
esm3_top28_bilstm_attn,train,-1,H,3842,859,0.9942738157209786,0.9929724102030193,0.982821447162936,0.0
esm3_top28_bilstm_attn,train,-1,S,5,5,1.0,1.0,1.0,0.0
esm3_top28_bilstm_attn,train,-1,T,40,35,1.0,1.0,1.0,0.0
esm3_top28_bilstm_attn,validation,-1,B,1,1,1.0,1.0,1.0,0.0
esm3_top28_bilstm_attn,validation,-1,C,19,15,1.0,1.0,1.0,0.0
esm3_top28_bilstm_attn,validation,-1,E,316,124,1.0,1.0,0.9968354430379747,0.0
esm3_top28_bilstm_attn,validation,-1,G,12,11,1.0,1.0,1.0,0.0
esm3_top28_bilstm_attn,validation,-1,H,826,183,1.0,0.9987893462469734,0.9939467312348669,0.0
esm3_top28_bilstm_attn,validation,-1,S,2,1,1.0,1.0,1.0,0.0
esm3_top28_bilstm_attn,validation,-1,T,4,4,1.0,1.0,1.0,0.0
esm3_top4_bilstm_attn,test,-1,B,1,1,1.0,1.0,1.0,1.0
esm3_top4_bilstm_attn,test,-1,C,20,18,1.0,1.0,1.0,1.0
esm3_top4_bilstm_attn,test,-1,E,273,120,1.0,1.0,0.9963369963369964,1.0
esm3_top4_bilstm_attn,test,-1,G,13,11,1.0,1.0,1.0,1.0
esm3_top4_bilstm_attn,test,-1,H,807,185,1.0,1.0,0.9838909541511772,1.0
esm3_top4_bilstm_attn,test,-1,T,5,4,1.0,1.0,1.0,1.0
esm3_top4_bilstm_attn,train,-1,C,66,58,0.9848484848484849,0.9848484848484849,0.9848484848484849,0.0
esm3_top4_bilstm_attn,train,-1,E,1318,505,0.996206373292868,0.9939301972685888,0.9901365705614568,0.0
esm3_top4_bilstm_attn,train,-1,G,64,60,1.0,1.0,1.0,0.0
esm3_top4_bilstm_attn,train,-1,H,3756,858,0.9949414270500533,0.9941427050053249,0.9848242811501597,0.0
esm3_top4_bilstm_attn,train,-1,S,3,3,1.0,1.0,1.0,0.0
esm3_top4_bilstm_attn,train,-1,T,25,24,1.0,1.0,1.0,0.0
esm3_top4_bilstm_attn,validation,-1,C,16,15,1.0,1.0,1.0,0.0
esm3_top4_bilstm_attn,validation,-1,E,299,117,1.0,1.0,1.0,0.0
esm3_top4_bilstm_attn,validation,-1,G,5,5,1.0,1.0,1.0,0.0
esm3_top4_bilstm_attn,validation,-1,H,810,181,1.0,0.9987654320987654,0.9950617283950617,0.0
esm3_top4_bilstm_attn,validation,-1,S,1,1,1.0,1.0,1.0,0.0
esm3_top4_bilstm_attn,validation,-1,T,1,1,1.0,1.0,1.0,0.0
