condition,sign,stage,evaluation_split,model_status,n_train_segments,n_segments,n_selected_segments,n_proteins,weighted_auroc,weighted_average_precision,macro_within_protein_q8_concordance,n_matched_protein_q8_strata,delta_auroc_from_previous_stage,delta_concordance_from_previous_stage
esm2_top4_bilstm_attn,1,02_add_experimental_geometry,test,ok,15479,3491,1104,200,0.8071051474076484,0.7939041417470161,0.8019683395675556,463,0.044794881794669617,0.028957983106499774
esm2_top4_bilstm_attn,1,03_add_contact_network,validation,ok,15479,3430,1094,203,0.8175955978837548,0.8088748756380704,0.8139363534180923,461,0.005015550635434796,-0.0027197064805525306
esm2_top4_bilstm_attn,1,03_add_contact_network,test,ok,15479,3491,1104,200,0.8147491016511563,0.7993729564832747,0.8166606141993485,463,0.007643954243507944,0.014692274631792901
esm2_top4_bilstm_attn,1,04_add_inter_domain,validation,ok,15479,3430,1094,203,0.8278095858989448,0.8174670034379379,0.8242618774048547,461,0.010213988015190023,0.010325523986762342
esm2_top4_bilstm_attn,1,04_add_inter_domain,test,ok,15479,3491,1104,200,0.8277988709830673,0.8157292182435337,0.8265166940945571,463,0.013049769331910932,0.009856079895208536
esm3_frozen_bilstm_attn,-1,00_q8_only,validation,ok,7924,1582,904,180,0.49903585657370403,0.49848935984665066,0.5,250,,
esm3_frozen_bilstm_attn,-1,00_q8_only,test,ok,7924,1661,910,179,0.4992090674251884,0.5005210466372843,0.5,262,,
esm3_frozen_bilstm_attn,-1,01_base_biophysics,validation,ok,7924,1582,904,180,0.7976664242935414,0.7514774289673716,0.8144736272550979,250,0.29863056771983737,0.31447362725509787
esm3_frozen_bilstm_attn,-1,01_base_biophysics,test,ok,7924,1661,910,179,0.7897884130975403,0.7477394187821345,0.8122293998521901,262,0.29057934567235194,0.3122293998521901
esm3_frozen_bilstm_attn,-1,02_add_experimental_geometry,validation,ok,7924,1582,904,180,0.8080024865917457,0.7674950917784257,0.8224361055393408,250,0.010336062298204274,0.007962478284242902
esm3_frozen_bilstm_attn,-1,02_add_experimental_geometry,test,ok,7924,1661,910,179,0.7937352672153825,0.7637368899664189,0.8218800090899829,262,0.003946854117842125,0.009650609237792818
esm3_frozen_bilstm_attn,-1,03_add_contact_network,validation,ok,7924,1582,904,180,0.8015468551157288,0.7621343858996501,0.7950749628095216,250,-0.00645563147601691,-0.027361142729819155
esm3_frozen_bilstm_attn,-1,03_add_contact_network,test,ok,7924,1661,910,179,0.8035115312836053,0.7667392744254222,0.8219412161670598,262,0.00977626406822285,6.120707707690798e-05
esm3_frozen_bilstm_attn,-1,04_add_inter_domain,validation,ok,7924,1582,904,180,0.8188523766380584,0.7798700805777169,0.8299105382362735,250,0.01730552152232967,0.034835575426751864
esm3_frozen_bilstm_attn,-1,04_add_inter_domain,test,ok,7924,1661,910,179,0.8195440801174747,0.7837805877447056,0.8295849852441356,262,0.016032548833869398,0.007643769077075757
esm3_frozen_bilstm_attn,1,00_q8_only,validation,ok,14413,3249,1090,201,0.49827949094468904,0.496696958866643,0.5,445,,
esm3_frozen_bilstm_attn,1,00_q8_only,test,ok,14413,3328,1110,203,0.4977950347449068,0.4958274958997232,0.5,447,,
esm3_frozen_bilstm_attn,1,01_base_biophysics,validation,ok,14413,3249,1090,201,0.758049031065446,0.7474030142592113,0.742112235008633,445,0.2597695401207569,0.242112235008633
esm3_frozen_bilstm_attn,1,01_base_biophysics,test,ok,14413,3328,1110,203,0.7661223596259247,0.7528139132754226,0.7606423189837949,447,0.2683273248810179,0.26064231898379486
esm3_frozen_bilstm_attn,1,02_add_experimental_geometry,validation,ok,14413,3249,1090,201,0.8110595331466028,0.799130542621755,0.8132976946494792,445,0.053010502081156874,0.07118545964084622
esm3_frozen_bilstm_attn,1,02_add_experimental_geometry,test,ok,14413,3328,1110,203,0.8113315741957373,0.8016266893890083,0.7980138970416604,447,0.04520921456981264,0.03737157805786551
esm3_frozen_bilstm_attn,1,03_add_contact_network,validation,ok,14413,3249,1090,201,0.8274056890736664,0.8123750764803302,0.8327844703673356,445,0.016346155927063566,0.019486775717856397
esm3_frozen_bilstm_attn,1,03_add_contact_network,test,ok,14413,3328,1110,203,0.8202745143667574,0.8075548914084761,0.8209611408759842,447,0.008942940171020042,0.022947243834323783
esm3_frozen_bilstm_attn,1,04_add_inter_domain,validation,ok,14413,3249,1090,201,0.8383394466920727,0.8239994639917939,0.8389117167745721,445,0.010933757618406315,0.006127246407236497
esm3_frozen_bilstm_attn,1,04_add_inter_domain,test,ok,14413,3328,1110,203,0.8401792633709948,0.8295836122635286,0.838801653274108,447,0.019904749004237443,0.017840512398123898
esm3_top28_bilstm_attn,-1,00_q8_only,validation,ok,7753,1650,886,180,0.49999999999999956,0.5000000000000003,0.5,253,,
esm3_top28_bilstm_attn,-1,00_q8_only,test,ok,7753,1712,952,177,0.49999999999999906,0.5000000000000006,0.5,274,,
esm3_top28_bilstm_attn,-1,01_base_biophysics,validation,ok,7753,1650,886,180,0.8113666572321915,0.7825291068353922,0.8275646444025891,253,0.3113666572321919,0.32756464440258914
esm3_top28_bilstm_attn,-1,01_base_biophysics,test,ok,7753,1712,952,177,0.7872526179120511,0.7587669260666251,0.8151688178121197,274,0.2872526179120521,0.3151688178121197
esm3_top28_bilstm_attn,-1,02_add_experimental_geometry,validation,ok,7753,1650,886,180,0.8187586028684868,0.792002282276144,0.8415337674329769,253,0.007391945636295305,0.013969123030387776
esm3_top28_bilstm_attn,-1,02_add_experimental_geometry,test,ok,7753,1712,952,177,0.7916584269597351,0.7660712730992423,0.8178030034942873,274,0.004405809047683951,0.0026341856821675558
esm3_top28_bilstm_attn,-1,03_add_contact_network,validation,ok,7753,1650,886,180,0.818983755372216,0.7890798083283973,0.8211213875788975,253,0.00022515250372923123,-0.0204123798540794
esm3_top28_bilstm_attn,-1,03_add_contact_network,test,ok,7753,1712,952,177,0.7984502929528703,0.7715170095856148,0.8276212054845588,274,0.006791865993135193,0.009818201990271502
esm3_top28_bilstm_attn,-1,04_add_inter_domain,validation,ok,7753,1650,886,180,0.8392825576474068,0.8139434114757024,0.8485790013309776,253,0.020298802275190764,0.027457613752080112
esm3_top28_bilstm_attn,-1,04_add_inter_domain,test,ok,7753,1712,952,177,0.8167305825517376,0.7902937477445474,0.8511300069855243,274,0.018280289598867294,0.02350880150096557
esm3_top28_bilstm_attn,1,00_q8_only,validation,ok,14340,3261,1065,202,0.4962460491125712,0.49379111906773215,0.5,448,,
esm3_top28_bilstm_attn,1,00_q8_only,test,ok,14340,3513,1107,201,0.5006279076404949,0.49979030350976217,0.5,457,,
esm3_top28_bilstm_attn,1,01_base_biophysics,validation,ok,14340,3261,1065,202,0.7671209302719663,0.7558842927281322,0.7741058455742487,448,0.27087488115939506,0.27410584557424866
esm3_top28_bilstm_attn,1,01_base_biophysics,test,ok,14340,3513,1107,201,0.773020851084681,0.7589244079778252,0.7751980607457052,457,0.2723929434441861,0.2751980607457052
esm3_top28_bilstm_attn,1,02_add_experimental_geometry,validation,ok,14340,3261,1065,202,0.8042716675891591,0.8023413986820409,0.7962260852881969,448,0.03715073731719287,0.022120239713948275
esm3_top28_bilstm_attn,1,02_add_experimental_geometry,test,ok,14340,3513,1107,201,0.8143229083817424,0.8087366991277967,0.8185385173155789,457,0.04130205729706138,0.04334045656987373
esm3_top28_bilstm_attn,1,03_add_contact_network,validation,ok,14340,3261,1065,202,0.8181776134894059,0.8143159307263907,0.8106360701197725,448,0.013905945900246741,0.014409984831575517
esm3_top28_bilstm_attn,1,03_add_contact_network,test,ok,14340,3513,1107,201,0.8286301718322048,0.8216609141023328,0.831182473045221,457,0.014307263450462404,0.012643955729642053
esm3_top28_bilstm_attn,1,04_add_inter_domain,validation,ok,14340,3261,1065,202,0.8298041973988728,0.8208764224815437,0.8316133131236347,448,0.011626583909466914,0.020977243003862278
esm3_top28_bilstm_attn,1,04_add_inter_domain,test,ok,14340,3513,1107,201,0.8451006071177727,0.8402498630500944,0.8501522618170712,457,0.016470435285567908,0.018969788771850182
esm3_top4_bilstm_attn,-1,00_q8_only,validation,ok,8046,1639,907,183,0.4999999999999998,0.5000000000000004,0.5,255,,
esm3_top4_bilstm_attn,-1,00_q8_only,test,ok,8046,1754,921,181,0.4999999999999998,0.5000000000000007,0.5,274,,
esm3_top4_bilstm_attn,-1,01_base_biophysics,validation,ok,8046,1639,907,183,0.7849774135533348,0.7408053681171394,0.7918345790332527,255,0.28497741355333506,0.2918345790332527
esm3_top4_bilstm_attn,-1,01_base_biophysics,test,ok,8046,1754,921,181,0.7854473444557116,0.7356945061428859,0.8003452968778753,274,0.28544734445571185,0.30034529687787526
esm3_top4_bilstm_attn,-1,02_add_experimental_geometry,validation,ok,8046,1639,907,183,0.7908206464623889,0.7518033056812634,0.8066040681412654,255,0.005843232909054086,0.014769489108012679
esm3_top4_bilstm_attn,-1,02_add_experimental_geometry,test,ok,8046,1754,921,181,0.7843026135145064,0.7473732649943896,0.7977123212728624,274,-0.001144730941205263,-0.002632975605012855
esm3_top4_bilstm_attn,-1,03_add_contact_network,validation,ok,8046,1639,907,183,0.7931167134338312,0.7542705362049842,0.7962570372939461,255,0.0022960669714422455,-0.01034703084731925
esm3_top4_bilstm_attn,-1,03_add_contact_network,test,ok,8046,1754,921,181,0.7928988196211715,0.7550371058228255,0.8140707265755569,274,0.008596206106665116,0.0163584053026945
esm3_top4_bilstm_attn,-1,04_add_inter_domain,validation,ok,8046,1639,907,183,0.8145044352471522,0.7722460911302359,0.8223686985725625,255,0.021387721813321048,0.026111661278616305
esm3_top4_bilstm_attn,-1,04_add_inter_domain,test,ok,8046,1754,921,181,0.8156964904544292,0.7851634072607064,0.8418486865336371,274,0.022797670833257677,0.02777795995808019
esm3_top4_bilstm_attn,1,00_q8_only,validation,ok,14994,3346,1063,204,0.4994313546715293,0.49786131324104255,0.5,453,,
esm3_top4_bilstm_attn,1,00_q8_only,test,ok,14994,3489,1058,204,0.5014429466489453,0.499646925884138,0.5,457,,
esm3_top4_bilstm_attn,1,01_base_biophysics,validation,ok,14994,3346,1063,204,0.7599414108819209,0.7428646230938508,0.7698843297332928,453,0.2605100562103916,0.2698843297332928
esm3_top4_bilstm_attn,1,01_base_biophysics,test,ok,14994,3489,1058,204,0.7664727405320035,0.7393526820930225,0.7763779681913028,457,0.26502979388305825,0.2763779681913028
esm3_top4_bilstm_attn,1,02_add_experimental_geometry,validation,ok,14994,3346,1063,204,0.8015042864758658,0.7907851321770394,0.7995336714426998,453,0.04156287559394489,0.02964934170940703
esm3_top4_bilstm_attn,1,02_add_experimental_geometry,test,ok,14994,3489,1058,204,0.8063131285736526,0.7864500631864446,0.8012968567182939,457,0.03984038804164902,0.02491888852699109
esm3_top4_bilstm_attn,1,03_add_contact_network,validation,ok,14994,3346,1063,204,0.8147615771339138,0.8010302431535903,0.8207565819692005,453,0.013257290658048038,0.021222910526500716
esm3_top4_bilstm_attn,1,03_add_contact_network,test,ok,14994,3489,1058,204,0.8179802106485661,0.7993581993683202,0.8181857619904793,457,0.011667082074913515,0.01688890527218545
esm3_top4_bilstm_attn,1,04_add_inter_domain,validation,ok,14994,3346,1063,204,0.8218898127402184,0.8071272600776651,0.8305432239672972,453,0.0071282356063046,0.009786641998096646
esm3_top4_bilstm_attn,1,04_add_inter_domain,test,ok,14994,3489,1058,204,0.8378066424948918,0.8205717673475968,0.8383704703373462,457,0.01982643184632571,0.02018470834686692
