match_scheme,condition,split,sign,label,q3,metric,metric_kind,metric_description,n_proteins,n_matched_apices,case_macro_protein_mean,matched_control_macro_protein_mean,case_minus_control_macro_mean,case_minus_control_ci95_low,case_minus_control_ci95_high,sign_flip_z,p_upper,p_lower,p_two_sided,p_upper_q_bh,p_lower_q_bh,p_two_sided_q_bh
q3_only,esm2_top4_bilstm_attn,validation,-1,rigidity_supporting,E,q8_turn_or_bend_TS,binary,Q8 turn or bend (T/S),119,289,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0
q3_only,esm2_top4_bilstm_attn,validation,-1,rigidity_supporting,E,q8_loop_turn_bend_CTS,binary,Q8 loop/turn/bend (C/T/S),119,289,0.0,0.018601127185461194,-0.018601127185461194,-0.028823425567259066,-0.010898482812777877,-3.7012961947151095,1.0,9.999000099990002e-05,9.999000099990002e-05,1.0,0.0006190035202087268,0.0003674188794138338
q3_only,esm2_top4_bilstm_attn,validation,-1,rigidity_supporting,E,structured_linker_loop,binary,structured linker/loop,119,289,0.0,0.010481213668214832,-0.010481213668214832,-0.021141364135617118,-0.00385618181779066,-2.300302289239225,1.0,9.999000099990002e-05,9.999000099990002e-05,1.0,0.0006190035202087268,0.0003674188794138338
q3_only,esm2_top4_bilstm_attn,validation,-1,rigidity_supporting,E,neq,continuous,Neq,119,289,1.0327809893654432,1.1597324900449997,-0.12695150067955704,-0.16092959157734052,-0.09977962332936174,-6.506116886622891,1.0,9.999000099990002e-05,9.999000099990002e-05,1.0,0.0006190035202087268,0.0003674188794138338
q3_only,esm2_top4_bilstm_attn,validation,-1,rigidity_supporting,E,rsa,continuous,relative solvent accessibility,119,289,0.08548129971346922,0.20161481004132634,-0.11613351032785713,-0.13331986430242468,-0.09935560358140767,-8.48866843071598,1.0,9.999000099990002e-05,9.999000099990002e-05,1.0,0.0006190035202087268,0.0003674188794138338
q3_only,esm2_top4_bilstm_attn,validation,-1,rigidity_supporting,E,neq_peak,binary,Neq peak,119,289,0.004201680672268907,0.02696914224925364,-0.02276746157698473,-0.03162502964739524,-0.011924442714880664,-4.2572975916096745,1.0,9.999000099990002e-05,9.999000099990002e-05,1.0,0.0006190035202087268,0.0003674188794138338
q3_only,esm2_top4_bilstm_attn,validation,-1,rigidity_supporting,E,distance_to_neq_peak,distance,distance to Neq peak,119,289,5.825366510240459,5.011331045601486,0.8140354646389736,0.1959360850758921,1.4128693997073887,2.5049646090271045,0.0045995400459954,0.9955004499550045,0.010998900109989001,0.030305722743375528,1.0,0.02918938875343235
q3_only,esm2_top4_bilstm_attn,validation,-1,rigidity_supporting,E,q3_boundary_within2,binary,within two residues of Q3 boundary,119,289,0.6138964676779802,0.8732612223813266,-0.25936475470334647,-0.3224405307393355,-0.19542500855745165,-6.36783807362878,1.0,9.999000099990002e-05,9.999000099990002e-05,1.0,0.0006190035202087268,0.0003674188794138338
q3_only,esm2_top4_bilstm_attn,validation,-1,rigidity_supporting,E,q8_boundary_within2,binary,within two residues of Q8 boundary,119,289,0.5980701371457673,0.8385108545654202,-0.2404407174196528,-0.30633850193133355,-0.17668194911620932,-5.945714617154661,1.0,9.999000099990002e-05,9.999000099990002e-05,1.0,0.0006190035202087268,0.0003674188794138338
q3_only,esm2_top4_bilstm_attn,validation,-1,rigidity_supporting,E,distance_to_q3_boundary,distance,distance to Q3 boundary,119,289,2.2416493870275387,1.1096587767220851,1.1319906103054533,0.956492629198448,1.302878569714174,8.374141001181476,9.999000099990002e-05,1.0,9.999000099990002e-05,0.0008505998715196974,1.0,0.0003674188794138338
q3_only,esm2_top4_bilstm_attn,validation,-1,rigidity_supporting,E,distance_to_q8_boundary,distance,distance to Q8 boundary,119,289,2.295530939648587,1.286142601683769,1.0093883379648179,0.8239081444629356,1.1912464808957708,7.471376823527345,9.999000099990002e-05,1.0,9.999000099990002e-05,0.0008505998715196974,1.0,0.0003674188794138338
q3_only,esm2_top4_bilstm_attn,validation,-1,rigidity_supporting,E,torsion_change_from_previous,continuous,backbone torsion change,119,289,13.515820318096631,31.780095391778595,-18.264275073681958,-21.406439817166902,-15.16168102095011,-7.8712649616915105,1.0,9.999000099990002e-05,9.999000099990002e-05,1.0,0.0006190035202087268,0.0003674188794138338
q3_only,esm2_top4_bilstm_attn,validation,-1,rigidity_supporting,E,disorder,continuous,disorder score,119,289,0.004050276007140298,0.011540768821525469,-0.0074904928143851735,-0.010276920379767785,-0.004743117222368145,-4.848127764240688,1.0,9.999000099990002e-05,9.999000099990002e-05,1.0,0.0006190035202087268,0.0003674188794138338
q3_only,esm2_top4_bilstm_attn,validation,-1,rigidity_supporting,E,disorder_ge05,binary,disorder score >= 0.5,119,289,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0
q3_only,esm2_top4_bilstm_attn,validation,-1,rigidity_supporting,E,normalized_position,continuous,normalized sequence position,119,289,0.5212652909103906,0.48643062020791067,0.03483467070247994,-0.01549302591961382,0.08788007226126585,1.288169288413446,0.10088991100889912,0.8992100789921008,0.198980101989801,0.4513472110690777,1.0,0.3672114215027234
q3_neq,esm2_top4_bilstm_attn,validation,-1,rigidity_supporting,E,q8_is_G,binary,Q8 G,118,282,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0
q3_neq,esm2_top4_bilstm_attn,validation,-1,rigidity_supporting,E,q8_is_H,binary,Q8 H,118,282,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0
q3_neq,esm2_top4_bilstm_attn,validation,-1,rigidity_supporting,E,q8_is_I,binary,Q8 I,118,282,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0
