match_scheme,condition,split,sign,label,q3,covariate,matched_on_covariate,n_matched_cases,case_mean,matched_control_mean,paired_mean_difference,paired_mean_absolute_difference,standardized_mean_difference,mean_absolute_difference_over_caliper,caliper
q3_neq,esm3_frozen_bilstm_attn,train,1,flexibility_supporting,E,rsa,False,76,0.37848490371221777,0.22440407932143697,0.15408082439078086,0.21109795480774587,1.0102518497055935,1.4073196987183059,0.15
q3_neq,esm3_frozen_bilstm_attn,train,1,flexibility_supporting,E,normalized_position,False,76,0.47197033951126377,0.4810050310534986,-0.009034691542234751,0.2944960331824989,-0.03577741024051816,1.1779841327299956,0.25
q3_neq_rsa,esm3_frozen_bilstm_attn,train,1,flexibility_supporting,E,neq,True,59,1.2734802259887004,1.2499329566854989,0.0235472693032015,0.07596760828625236,0.06292482872541956,0.30387043314500944,0.25
q3_neq_rsa,esm3_frozen_bilstm_attn,train,1,flexibility_supporting,E,rsa,True,59,0.3526352624077413,0.3274474181108555,0.025187844296885753,0.0454866284409822,0.1392255545650369,0.30324418960654803,0.15
q3_neq_rsa,esm3_frozen_bilstm_attn,train,1,flexibility_supporting,E,normalized_position,False,59,0.46621318654238314,0.5597023986138129,-0.0934892120714297,0.3554956228651314,-0.34809300948342753,1.4219824914605257,0.25
q3_neq_rsa_position,esm3_frozen_bilstm_attn,train,1,flexibility_supporting,E,neq,True,32,1.1867916666666667,1.1585918402777777,0.028199826388888877,0.07161024305555556,0.10297841960790015,0.28644097222222226,0.25
q3_neq_rsa_position,esm3_frozen_bilstm_attn,train,1,flexibility_supporting,E,rsa,True,32,0.3195519044820685,0.28238358589781754,0.03716831858425092,0.05985233311463768,0.20393797701457428,0.39901555409758455,0.15
q3_neq_rsa_position,esm3_frozen_bilstm_attn,train,1,flexibility_supporting,E,normalized_position,True,32,0.537370498178711,0.5362108738208994,0.0011596243578115917,0.10663912072605597,0.004227609055851655,0.4265564829042239,0.25
q3_only,esm3_frozen_bilstm_attn,validation,-1,rigidity_supporting,H,neq,False,815,1.0075680981595092,1.154698467632238,-0.14713036947272873,0.16002721048891888,-1.0557794027571994,0.6401088419556755,0.25
q3_only,esm3_frozen_bilstm_attn,validation,-1,rigidity_supporting,H,rsa,False,815,0.1846667441548037,0.3195997941427801,-0.13493304998797648,0.21533314425433517,-0.9099157549372949,1.435554295028901,0.15
q3_only,esm3_frozen_bilstm_attn,validation,-1,rigidity_supporting,H,normalized_position,False,815,0.505288703033829,0.5219020195102979,-0.016613316476468937,0.2779537318015239,-0.07103535581892918,1.1118149272060955,0.25
q3_neq,esm3_frozen_bilstm_attn,validation,-1,rigidity_supporting,H,neq,True,808,1.0026056105610561,1.0030214658965897,-0.0004158553355335549,0.0009060368536853699,-0.010373004319786293,0.0036241474147414797,0.25
q3_neq,esm3_frozen_bilstm_attn,validation,-1,rigidity_supporting,H,rsa,False,808,0.1850107089748334,0.3143462105904492,-0.12933550161561583,0.22005857899669778,-0.8156745419377608,1.4670571933113186,0.15
q3_neq,esm3_frozen_bilstm_attn,validation,-1,rigidity_supporting,H,normalized_position,False,808,0.50664125559539,0.29744782436498785,0.20919343123040202,0.37008010426222376,0.7481995726767843,1.480320417048895,0.25
q3_neq_rsa,esm3_frozen_bilstm_attn,validation,-1,rigidity_supporting,H,neq,True,776,1.0027121993127146,1.0081768542382588,-0.00546465492554409,0.006633727090492542,-0.1343054023089778,0.02653490836197017,0.25
q3_neq_rsa,esm3_frozen_bilstm_attn,validation,-1,rigidity_supporting,H,rsa,True,776,0.18518057483225608,0.19449563826819563,-0.009315063435939559,0.025194143449817224,-0.049234019816092385,0.16796095633211483,0.15
q3_neq_rsa,esm3_frozen_bilstm_attn,validation,-1,rigidity_supporting,H,normalized_position,False,776,0.5069591824580232,0.5191140454508086,-0.01215486299278539,0.29285146675362117,-0.048664105117732816,1.1714058670144847,0.25
q3_neq_rsa_position,esm3_frozen_bilstm_attn,validation,-1,rigidity_supporting,H,neq,True,642,1.0012881619937695,1.0077604880581517,-0.006472326064382135,0.007662495673243333,-0.25738372379735,0.03064998269297333,0.25
q3_neq_rsa_position,esm3_frozen_bilstm_attn,validation,-1,rigidity_supporting,H,rsa,True,642,0.18560475413107264,0.19825369555368094,-0.012648941422608345,0.039790059954779286,-0.06741377778388095,0.26526706636519526,0.15
q3_neq_rsa_position,esm3_frozen_bilstm_attn,validation,-1,rigidity_supporting,H,normalized_position,True,642,0.5093179280442502,0.5104562330522403,-0.0011383050079900384,0.09438253774994643,-0.003922255754438548,0.3775301509997857,0.25
q3_only,esm3_frozen_bilstm_attn,validation,1,flexibility_supporting,C,neq,False,1204,1.9904501661129568,1.545886524408651,0.44456364170430573,0.7931198876734241,0.5917979293270283,3.1724795506936965,0.25
q3_only,esm3_frozen_bilstm_attn,validation,1,flexibility_supporting,C,rsa,False,1204,0.5285102054878971,0.4108345616396136,0.11767564384828337,0.19469153913568468,0.7522761145400675,1.2979435942378978,0.15
q3_only,esm3_frozen_bilstm_attn,validation,1,flexibility_supporting,C,normalized_position,False,1204,0.5000927308226308,0.48472657410509373,0.015366156717537162,0.2798447038051293,0.068431382390423,1.1193788152205173,0.25
q3_neq,esm3_frozen_bilstm_attn,validation,1,flexibility_supporting,C,neq,True,1000,1.725253,1.7107846166666665,0.014468383333333336,0.05195697222222222,0.019329312199878466,0.20782788888888887,0.25
q3_neq,esm3_frozen_bilstm_attn,validation,1,flexibility_supporting,C,rsa,False,1000,0.5136802986599505,0.4078602928632405,0.10582000579671004,0.2102043064130936,0.5897662034034903,1.4013620427539573,0.15
q3_neq,esm3_frozen_bilstm_attn,validation,1,flexibility_supporting,C,normalized_position,False,1000,0.4993339765030862,0.4701116537041494,0.029222322798936853,0.32212107204341917,0.11037427514307446,1.2884842881736767,0.25
q3_neq_rsa,esm3_frozen_bilstm_attn,validation,1,flexibility_supporting,C,neq,True,813,1.6107552275522754,1.5953205343720103,0.015434693180265137,0.07262028836955035,0.021636028627068017,0.2904811534782014,0.25
q3_neq_rsa,esm3_frozen_bilstm_attn,validation,1,flexibility_supporting,C,rsa,True,813,0.49581923600180855,0.4867665319361767,0.009052704065631842,0.044964740357761525,0.045574806046847355,0.2997649357184102,0.15
q3_neq_rsa,esm3_frozen_bilstm_attn,validation,1,flexibility_supporting,C,normalized_position,False,813,0.5017168774140004,0.49101561206657746,0.01070126534742287,0.3243985714230351,0.03924228302624914,1.2975942856921403,0.25
q3_neq_rsa_position,esm3_frozen_bilstm_attn,validation,1,flexibility_supporting,C,neq,True,534,1.4742191011235954,1.4568604452767375,0.017358655846858098,0.08342401165210153,0.026495409964999283,0.3336960466084061,0.25
q3_neq_rsa_position,esm3_frozen_bilstm_attn,validation,1,flexibility_supporting,C,rsa,True,534,0.47047046269202947,0.4617788983243849,0.008691564367644568,0.05438698549428199,0.043455435438946505,0.3625799032952133,0.15
q3_neq_rsa_position,esm3_frozen_bilstm_attn,validation,1,flexibility_supporting,C,normalized_position,True,534,0.4986065361486522,0.5062814739510831,-0.007674937802431,0.10393062968910241,-0.025401052740540983,0.41572251875640964,0.25
q3_only,esm3_frozen_bilstm_attn,validation,-1,rigidity_supporting,E,neq,False,292,1.033901826484018,1.164411810229617,-0.1305099837455986,0.16426509890851582,-0.8350317746074679,0.6570603956340633,0.25
q3_only,esm3_frozen_bilstm_attn,validation,-1,rigidity_supporting,E,rsa,False,292,0.11232128746373804,0.1985321127408829,-0.08621082527714483,0.14404537277013776,-0.8152968587921715,0.9603024851342518,0.15
q3_only,esm3_frozen_bilstm_attn,validation,-1,rigidity_supporting,E,normalized_position,False,292,0.5044172317933309,0.5099548585094597,-0.005537626716128805,0.27736740260153564,-0.023657952537187804,1.1094696104061426,0.25
q3_neq,esm3_frozen_bilstm_attn,validation,-1,rigidity_supporting,E,neq,True,287,1.02897212543554,1.0264999225706541,0.0024722028648857955,0.008497483546264032,0.018412366375772527,0.03398993418505613,0.25
q3_neq,esm3_frozen_bilstm_attn,validation,-1,rigidity_supporting,E,rsa,False,287,0.1118502833065982,0.17556814198483875,-0.06371785867824052,0.13784110428636695,-0.5450060564870562,0.9189406952424464,0.15
q3_neq,esm3_frozen_bilstm_attn,validation,-1,rigidity_supporting,E,normalized_position,False,287,0.5051726939229704,0.40338076631535563,0.10179192760761463,0.3307828729155019,0.3853133349592543,1.3231314916620076,0.25
q3_neq_rsa,esm3_frozen_bilstm_attn,validation,-1,rigidity_supporting,E,neq,True,280,1.022602380952381,1.0280019444444441,-0.005399563492063478,0.015749206349206346,-0.042529941281517124,0.06299682539682538,0.25
q3_neq_rsa,esm3_frozen_bilstm_attn,validation,-1,rigidity_supporting,E,rsa,True,280,0.10990398532511396,0.11746501233251319,-0.007561027007399219,0.030647199175298397,-0.0625060838271473,0.204314661168656,0.15
q3_neq_rsa,esm3_frozen_bilstm_attn,validation,-1,rigidity_supporting,E,normalized_position,False,280,0.5047873500837625,0.5271270070208365,-0.02233965693707399,0.30732776402288337,-0.08611270310268962,1.2293110560915335,0.25
q3_neq_rsa_position,esm3_frozen_bilstm_attn,validation,-1,rigidity_supporting,E,neq,True,189,1.007395061728395,1.019043092298648,-0.011648030570252776,0.019462845385067585,-0.291303834328525,0.07785138154027034,0.25
q3_neq_rsa_position,esm3_frozen_bilstm_attn,validation,-1,rigidity_supporting,E,rsa,True,189,0.10674748170588694,0.126392356106848,-0.01964487440096103,0.04597257682139948,-0.16194965244773962,0.30648384547599655,0.15
q3_neq_rsa_position,esm3_frozen_bilstm_attn,validation,-1,rigidity_supporting,E,normalized_position,True,189,0.5008973462577603,0.49525538944648634,0.0056419568112738225,0.11870314571706131,0.020525318782308066,0.47481258286824524,0.25
q3_only,esm3_frozen_bilstm_attn,validation,1,flexibility_supporting,H,neq,False,38,1.6117807017543857,1.1339018932633524,0.47787880849103326,0.5963489216826581,0.8108639974968854,2.3853956867306323,0.25
q3_only,esm3_frozen_bilstm_attn,validation,1,flexibility_supporting,H,rsa,False,38,0.45678313821554184,0.3020953365441422,0.15468780167139967,0.23443356444979896,0.8824641170503904,1.5628904296653265,0.15
q3_only,esm3_frozen_bilstm_attn,validation,1,flexibility_supporting,H,normalized_position,False,38,0.467065585325636,0.5445884632631115,-0.07752287793747552,0.3068820942163156,-0.3083182003259578,1.2275283768652625,0.25
q3_neq,esm3_frozen_bilstm_attn,validation,1,flexibility_supporting,H,neq,True,31,1.3518494623655914,1.3277883512544804,0.024061111111111075,0.041157168458781326,0.05362543335891462,0.1646286738351253,0.25
q3_neq,esm3_frozen_bilstm_attn,validation,1,flexibility_supporting,H,rsa,False,31,0.461682001909902,0.2749297339954884,0.1867522679144136,0.29030781669031464,0.9324730573249305,1.9353854446020977,0.15
q3_neq,esm3_frozen_bilstm_attn,validation,1,flexibility_supporting,H,normalized_position,False,31,0.4602358473567551,0.4974492958593701,-0.03721344850261507,0.27060429970010363,-0.13551866786561567,1.0824171988004145,0.25
q3_neq_rsa,esm3_frozen_bilstm_attn,validation,1,flexibility_supporting,H,neq,True,24,1.272625,1.2571497685185185,0.015475231481481416,0.05434884259259259,0.03630409121372132,0.21739537037037035,0.25
q3_neq_rsa,esm3_frozen_bilstm_attn,validation,1,flexibility_supporting,H,rsa,True,24,0.4076942236473163,0.38500796589392444,0.02268625775339185,0.045425912946747214,0.09062315319406869,0.30283941964498146,0.15
q3_neq_rsa,esm3_frozen_bilstm_attn,validation,1,flexibility_supporting,H,normalized_position,False,24,0.4686774367833057,0.5444316846427145,-0.07575424785940889,0.32765371122647513,-0.2522553970352086,1.3106148449059005,0.25
q3_neq_rsa_position,esm3_frozen_bilstm_attn,validation,1,flexibility_supporting,H,neq,True,15,1.2238444444444443,1.1881874074074075,0.03565703703703695,0.03818592592592586,0.08789977162171442,0.15274370370370344,0.25
q3_neq_rsa_position,esm3_frozen_bilstm_attn,validation,1,flexibility_supporting,H,rsa,True,15,0.3370155264933904,0.32260611225023034,0.014409414243160019,0.0460839344178223,0.06081474931642361,0.30722622945214867,0.15
q3_neq_rsa_position,esm3_frozen_bilstm_attn,validation,1,flexibility_supporting,H,normalized_position,True,15,0.4526765325971296,0.4230019895392655,0.029674543057864204,0.1292064181856805,0.10287994433574636,0.516825672742722,0.25
q3_only,esm3_frozen_bilstm_attn,validation,1,flexibility_supporting,E,neq,False,27,1.629037037037037,1.1511837001216638,0.4778533369153732,0.5808570142102538,0.85252531900241,2.3234280568410153,0.25
