match_scheme,condition,split,sign,label,q3,n_proteins_with_cases,n_cases,n_matched_cases,match_rate,n_controls_selected,mean_controls_per_matched_case
q3_neq_rsa_position,esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,C,129,168,103,0.6130952380952381,394,3.825242718446602
q3_only,esm2_frozen_bilstm_attn,train,1,flexibility_supporting,E,118,128,125,0.9765625,3327,26.616
q3_neq,esm2_frozen_bilstm_attn,train,1,flexibility_supporting,E,118,128,107,0.8359375,410,3.8317757009345796
q3_neq_rsa,esm2_frozen_bilstm_attn,train,1,flexibility_supporting,E,118,128,89,0.6953125,282,3.168539325842697
q3_neq_rsa_position,esm2_frozen_bilstm_attn,train,1,flexibility_supporting,E,118,128,63,0.4921875,173,2.746031746031746
q3_only,esm2_frozen_bilstm_attn,validation,1,flexibility_supporting,C,208,1268,1268,1.0,50975,40.201104100946374
q3_neq,esm2_frozen_bilstm_attn,validation,1,flexibility_supporting,C,208,1268,1045,0.8241324921135647,4266,4.082296650717703
q3_neq_rsa,esm2_frozen_bilstm_attn,validation,1,flexibility_supporting,C,208,1268,878,0.692429022082019,2797,3.1856492027334853
q3_neq_rsa_position,esm2_frozen_bilstm_attn,validation,1,flexibility_supporting,C,208,1268,589,0.4645110410094637,1409,2.392190152801358
q3_only,esm2_frozen_bilstm_attn,validation,-1,rigidity_supporting,H,181,830,804,0.9686746987951808,31167,38.764925373134325
q3_neq,esm2_frozen_bilstm_attn,validation,-1,rigidity_supporting,H,181,830,799,0.9626506024096385,3778,4.7284105131414265
q3_neq_rsa,esm2_frozen_bilstm_attn,validation,-1,rigidity_supporting,H,181,830,764,0.9204819277108434,3349,4.383507853403142
q3_neq_rsa_position,esm2_frozen_bilstm_attn,validation,-1,rigidity_supporting,H,181,830,639,0.7698795180722892,2310,3.615023474178404
q3_only,esm2_frozen_bilstm_attn,validation,-1,rigidity_supporting,E,132,355,334,0.9408450704225352,8481,25.392215568862277
q3_neq,esm2_frozen_bilstm_attn,validation,-1,rigidity_supporting,E,132,355,329,0.9267605633802817,1556,4.729483282674772
q3_neq_rsa,esm2_frozen_bilstm_attn,validation,-1,rigidity_supporting,E,132,355,325,0.9154929577464789,1441,4.4338461538461535
q3_neq_rsa_position,esm2_frozen_bilstm_attn,validation,-1,rigidity_supporting,E,132,355,233,0.6563380281690141,905,3.88412017167382
q3_only,esm2_frozen_bilstm_attn,validation,1,flexibility_supporting,E,33,36,32,0.8888888888888888,894,27.9375
q3_neq,esm2_frozen_bilstm_attn,validation,1,flexibility_supporting,E,33,36,24,0.6666666666666666,99,4.125
q3_neq_rsa,esm2_frozen_bilstm_attn,validation,1,flexibility_supporting,E,33,36,18,0.5,67,3.7222222222222223
q3_neq_rsa_position,esm2_frozen_bilstm_attn,validation,1,flexibility_supporting,E,33,36,11,0.3055555555555556,39,3.5454545454545454
q3_only,esm2_frozen_bilstm_attn,validation,-1,rigidity_supporting,C,31,36,36,1.0,1320,36.666666666666664
q3_neq,esm2_frozen_bilstm_attn,validation,-1,rigidity_supporting,C,31,36,36,1.0,156,4.333333333333333
q3_neq_rsa,esm2_frozen_bilstm_attn,validation,-1,rigidity_supporting,C,31,36,31,0.8611111111111112,119,3.838709677419355
