condition,split,metric,metric_kind,directional_hypothesis,n_paired_proteins,flex_minus_rigid_mean,flex_minus_rigid_median,sign_flip_null_mean,sign_flip_null_std,sign_flip_z,p_upper,p_lower,p_two_sided,p_upper_q_bh,p_lower_q_bh,p_two_sided_q_bh
esm2_top4_bilstm_attn,validation,q8_boundary_within2,binary,upper,207,0.6555061417380259,0.75,0.00039119116256797426,0.05079137974597662,12.898152281979543,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
esm2_top4_bilstm_attn,validation,distance_to_q3_boundary,distance,lower,207,-1.7468116089492904,-1.9444444444444446,0.001152386515792314,0.19520271132964664,-8.954609203727841,1.0,9.999000099990002e-05,9.999000099990002e-05,1.0,0.00039996000399960006,0.00010433739234772175
esm2_top4_bilstm_attn,validation,distance_to_q8_boundary,distance,lower,207,-3.3773794710388914,-3.5,-0.0004869980408748518,0.2680751083544082,-12.596814727511376,1.0,9.999000099990002e-05,9.999000099990002e-05,1.0,0.00039996000399960006,0.00010433739234772175
esm2_top4_bilstm_attn,validation,rsa,continuous,two-sided,207,0.39062474904103994,0.3919108696681049,5.5734161064007656e-05,0.02919959865043681,13.375835043339995,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
esm2_top4_bilstm_attn,validation,exposed_rsa_ge025,binary,two-sided,207,0.6583841212464401,0.6666666666666667,-0.0002631943392088322,0.049381335521884354,13.337981012963002,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
esm2_top4_bilstm_attn,validation,disorder,continuous,upper,207,0.07636375575886584,0.04464739657487373,1.3219381842495204e-05,0.007937094124850913,9.619457092989618,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
esm2_top4_bilstm_attn,validation,disorder_ge05,binary,upper,207,0.035020199875272336,0.0,0.0002446159664275606,0.008040742209006194,4.324922128444024,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
esm2_top4_bilstm_attn,validation,interface,binary,two-sided,207,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0
esm2_top4_bilstm_attn,validation,torsion_change_from_previous,continuous,upper,207,92.69626956321046,90.28480080058706,0.05570116815973693,6.973486361072608,13.284684818800086,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
esm2_top4_bilstm_attn,test,neq,continuous,flexibility-supporting higher,203,0.9948018168749696,0.8981111111111113,-0.00044527552120111213,0.08281244184785966,12.018086536134346,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
esm2_top4_bilstm_attn,test,flexible_neq_gt1,binary,flexibility-supporting higher,203,0.8187799967583477,0.8888888888888888,0.0010631174640184234,0.06001833692950871,13.624450811670012,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
