condition,split,catalog_scope,sign,direction,n_protein_rows,mean_median_nearest_apex_distance,median_median_nearest_apex_distance,n_finite_median_nearest_apex_distance,mean_fraction_within_0_residues,median_fraction_within_0_residues,n_finite_fraction_within_0_residues,mean_fraction_within_2_residues,median_fraction_within_2_residues,n_finite_fraction_within_2_residues,mean_fraction_within_5_residues,median_fraction_within_5_residues,n_finite_fraction_within_5_residues,mean_fraction_within_10_residues,median_fraction_within_10_residues,n_finite_fraction_within_10_residues,mean_source_present_target_missing,median_source_present_target_missing,n_finite_source_present_target_missing,test_set_primary
esm2_frozen_bilstm_attn,validation,mean_candidate,-1,uniform_to_observed,208,1.7598039215686274,0.0,102,0.8279239766081871,1.0,114,0.8640350877192983,1.0,114,0.8640350877192983,1.0,114,0.8669590643274855,1.0,114,0.057692307692307696,0.0,208,False
esm2_frozen_bilstm_attn,validation,mean_candidate,1,observed_to_uniform,208,59.3768115942029,49.0,69,0.10480910675085432,0.0,206,0.11757108856623419,0.0,206,0.11757108856623419,0.0,206,0.11939147691574875,0.0,206,0.6586538461538461,1.0,208,False
esm2_frozen_bilstm_attn,validation,mean_candidate,1,uniform_to_observed,208,1.818840579710145,0.0,69,0.9251207729468598,1.0,69,0.9903381642512077,1.0,69,0.9903381642512077,1.0,69,0.9903381642512077,1.0,69,0.0,0.0,208,False
esm2_frozen_bilstm_attn,validation,seed_stable,-1,observed_to_uniform,208,16.96315789473684,0.0,95,0.34940890846063255,0.16666666666666666,174,0.3654187606773813,0.18333333333333335,174,0.3654187606773813,0.18333333333333335,174,0.3654187606773813,0.18333333333333335,174,0.3798076923076923,0.0,208,False
esm2_frozen_bilstm_attn,validation,seed_stable,-1,uniform_to_observed,208,2.0157894736842104,0.0,95,0.817601246105919,1.0,107,0.8598130841121495,1.0,107,0.8598130841121495,1.0,107,0.8598130841121495,1.0,107,0.057692307692307696,0.0,208,False
esm2_frozen_bilstm_attn,validation,seed_stable,1,observed_to_uniform,208,60.59848484848485,43.75,66,0.09887717460532995,0.0,206,0.11172584158021051,0.0,206,0.11172584158021051,0.0,206,0.11415302604622993,0.0,206,0.6730769230769231,1.0,208,False
esm2_frozen_bilstm_attn,validation,seed_stable,1,uniform_to_observed,208,2.121212121212121,0.0,66,0.904040404040404,1.0,66,0.9823232323232323,1.0,66,0.9823232323232323,1.0,66,0.9823232323232323,1.0,66,0.0,0.0,208,False
esm2_top28_bilstm_attn,train,mean_candidate,-1,observed_to_uniform,967,30.99789029535865,7.5,237,0.17677792838129078,0.0,803,0.18624045976163037,0.0,803,0.18624045976163037,0.0,803,0.18624045976163037,0.0,803,0.5853154084798345,1.0,967,False
esm2_top28_bilstm_attn,train,mean_candidate,-1,uniform_to_observed,967,0.06329113924050633,0.0,237,0.9012616201859228,1.0,251,0.9382470119521913,1.0,251,0.9382470119521913,1.0,251,0.9382470119521913,1.0,251,0.014477766287487074,0.0,967,False
esm2_top28_bilstm_attn,train,mean_candidate,1,observed_to_uniform,967,28.29,11.5,100,0.05238692055784707,0.0,939,0.056881316825406286,0.0,939,0.056881316825406286,0.0,939,0.05735340419845212,0.0,939,0.8676318510858325,1.0,967,False
esm2_top28_bilstm_attn,train,mean_candidate,1,uniform_to_observed,967,0.36,0.0,100,0.9158415841584159,1.0,101,0.9627062706270627,1.0,101,0.9627062706270627,1.0,101,0.9627062706270627,1.0,101,0.001034126163391934,0.0,967,False
esm2_top28_bilstm_attn,train,seed_stable,-1,observed_to_uniform,967,31.8681592039801,16.0,201,0.14901958764585665,0.0,788,0.1571394007149083,0.0,788,0.1571394007149083,0.0,788,0.1571394007149083,0.0,788,0.6070320579110652,1.0,967,False
esm2_top28_bilstm_attn,train,seed_stable,-1,uniform_to_observed,967,0.3034825870646766,0.0,201,0.9031746031746033,1.0,210,0.9444444444444443,1.0,210,0.9444444444444443,1.0,210,0.9444444444444443,1.0,210,0.009307135470527405,0.0,967,False
esm2_top28_bilstm_attn,train,seed_stable,1,observed_to_uniform,967,33.896103896103895,13.0,77,0.03542712801028251,0.0,932,0.03915694611778303,0.0,932,0.03915694611778303,0.0,932,0.04005920909086145,0.0,932,0.8841778697001034,1.0,967,False
esm2_top28_bilstm_attn,train,seed_stable,1,uniform_to_observed,967,0.4675324675324675,0.0,77,0.902991452991453,1.0,78,0.964957264957265,1.0,78,0.964957264957265,1.0,78,0.964957264957265,1.0,78,0.001034126163391934,0.0,967,False
esm2_top28_bilstm_attn,validation,mean_candidate,-1,observed_to_uniform,208,31.258064516129032,9.0,62,0.20029508568834412,0.0,178,0.20872205198047894,0.0,178,0.20872205198047894,0.0,178,0.20872205198047894,0.0,178,0.5576923076923077,1.0,208,False
