condition,split,sign,mechanism_class,n_proteins,n_bands,fraction_high_receivers_long_range_macro_mean,fraction_positive_directional_mass_long_range_macro_mean,fraction_attention_mass_long_range_macro_mean
esm2_top4_bilstm_attn,train,1,not_magnitude_enriched,78,87,0.8462936378455737,0.8485099368570108,0.7879411214822659
esm2_top4_bilstm_attn,train,1,unclassified,185,267,0.5502539598675558,0.6275434627577269,0.6183361398645956
esm2_top4_bilstm_attn,validation,-1,combined,133,449,0.5752651540421221,0.6613922056793359,0.671732429245941
esm2_top4_bilstm_attn,validation,-1,evidence_dominated,173,613,0.6665234837907256,0.7038874784384259,0.6777344649114798
esm2_top4_bilstm_attn,validation,-1,not_magnitude_enriched,45,55,0.8164864867817392,0.7667089848248787,0.7219781076063937
esm2_top4_bilstm_attn,validation,-1,unclassified,17,28,0.4546560423929914,0.4364808620690279,0.49872763868192144
esm2_top4_bilstm_attn,validation,1,combined,203,995,0.6205988593620007,0.7114911631182992,0.7117953165407563
esm2_top4_bilstm_attn,validation,1,consultation_dominated,14,19,0.5787903720389476,0.6726013152501641,0.6746916915936073
esm2_top4_bilstm_attn,validation,1,evidence_dominated,85,145,0.7567547798698268,0.7957456185528327,0.7680469294884764
esm2_top4_bilstm_attn,validation,1,not_magnitude_enriched,21,21,0.8955049473603748,0.8821178166731386,0.7227387359063869
esm2_top4_bilstm_attn,validation,1,unclassified,35,56,0.5996853690362117,0.6499226597385283,0.6517292215729715
esm3_frozen_bilstm_attn,test,-1,combined,140,503,0.5561877290565319,0.6428424260992222,0.6506685481894692
esm3_frozen_bilstm_attn,test,-1,evidence_dominated,161,589,0.6808424770794996,0.7145357205707371,0.6831904254065368
esm3_frozen_bilstm_attn,test,-1,not_magnitude_enriched,46,66,0.8017876456831441,0.8384765995152338,0.7229838920219088
esm3_frozen_bilstm_attn,test,-1,unclassified,25,51,0.4549665923049382,0.4529970100743592,0.5004314816380439
esm3_frozen_bilstm_attn,test,1,combined,207,1031,0.5944549040820105,0.7049775157946951,0.7042542630503414
esm3_frozen_bilstm_attn,test,1,consultation_dominated,23,31,0.7115472685896352,0.7670068140051313,0.759176768278734
esm3_frozen_bilstm_attn,test,1,evidence_dominated,74,129,0.7900314985602266,0.8057769719720344,0.7654094476785925
esm3_frozen_bilstm_attn,test,1,not_magnitude_enriched,30,38,0.8873554032960769,0.8680993310996847,0.7679996192853572
esm3_frozen_bilstm_attn,test,1,unclassified,39,62,0.5823004812817356,0.6844611507257287,0.684615042581613
esm3_frozen_bilstm_attn,train,-1,combined,623,2524,0.5670829191872431,0.653043303664746,0.6598988627060758
esm3_frozen_bilstm_attn,train,-1,consultation_dominated,6,8,0.5468196457326892,0.6233028490315592,0.5856487856185878
esm3_frozen_bilstm_attn,train,-1,evidence_dominated,753,2589,0.6434458448562721,0.6788818104167786,0.6528176757634689
esm3_frozen_bilstm_attn,train,-1,not_magnitude_enriched,205,276,0.8059177556010825,0.8312119994761138,0.7176835772564164
esm3_frozen_bilstm_attn,train,-1,unclassified,107,195,0.448933974444385,0.44870691591064316,0.4923600162439032
esm3_frozen_bilstm_attn,train,1,combined,931,4754,0.5753152070923078,0.6842887866765751,0.6845584433788121
