condition,split,sign,mechanism_class,feature,n_proteins,n_bands,high_minus_low_macro_protein_mean,ci95_low,ci95_high,inference_eligible,protein_sign_p_two_sided,protein_sign_q_bh
esm2_top4_bilstm_attn,test,1,combined,query_in_any_band,194,972,0.3067264131003582,0.2632273577665793,0.3502254684341371,True,1.4157151779133445e-30,7.15722673278413e-30
esm2_top4_bilstm_attn,test,1,combined,rsa,194,972,0.12104187853652014,0.10330634898702037,0.1387774080860199,True,6.3757200474430965e-31,3.31537442467041e-30
esm2_top4_bilstm_attn,test,1,combined,torsion_change_from_previous,194,972,16.672191263276638,12.26673735047339,21.077645176079884,True,1.440134265568616e-17,5.2420887266697626e-17
esm2_top4_bilstm_attn,test,-1,combined,absolute_sequence_separation,127,389,-0.9323245650069834,-3.1647288397864677,1.300079709772501,True,0.4779219422067188,0.5611728611717601
esm2_top4_bilstm_attn,test,-1,combined,disorder,127,389,-0.018239291348262954,-0.023622590706265975,-0.012855991990259934,True,4.014360227832145e-33,2.148863416074854e-32
esm2_top4_bilstm_attn,test,-1,combined,neq,127,389,-0.39889972992404144,-0.4549898447715912,-0.34280961507649166,True,1.504632769052528e-36,9.442867723019313e-36
esm2_top4_bilstm_attn,test,-1,combined,normalized_query_position,127,389,-0.004635277269043472,-0.025755572938210406,0.016485018400123463,True,0.2139651540354208,0.27423702841159564
esm2_top4_bilstm_attn,test,-1,combined,query_in_any_band,127,389,0.20511994411172313,0.14940789944323274,0.2608319887802135,True,2.8669598238307675e-16,9.662716443281476e-16
esm2_top4_bilstm_attn,test,-1,combined,rsa,127,389,-0.15132286927452546,-0.16983622490398886,-0.13280951364506205,True,1.6869953653078252e-26,7.310313249667243e-26
esm2_top4_bilstm_attn,test,-1,combined,torsion_change_from_previous,127,389,-43.889623320902224,-49.324946167498474,-38.454300474305974,True,1.504632769052528e-36,9.442867723019313e-36
esm2_top4_bilstm_attn,test,1,evidence_dominated,absolute_sequence_separation,88,167,-0.9167818967391997,-3.892156988143693,2.058593194665294,True,0.59428829514694,0.6872399433256611
esm2_top4_bilstm_attn,test,1,evidence_dominated,disorder,88,167,-0.01575107310716462,-0.02928724423730773,-0.002214901977021507,True,0.16544051293398976,0.21818966198540676
esm2_top4_bilstm_attn,test,1,evidence_dominated,neq,88,167,0.49368605126077525,0.38429205245286846,0.603080050068682,True,3.7711198441363256e-18,1.4007016563934922e-17
esm2_top4_bilstm_attn,test,1,evidence_dominated,normalized_query_position,88,167,-0.0023725035529913578,-0.031208069046158454,0.026463061940175735,True,0.9151865048428764,0.9683950225662994
esm2_top4_bilstm_attn,test,1,evidence_dominated,query_in_any_band,88,167,0.18981734239954814,0.12991854338149925,0.24971614141759704,True,1.9409574271727466e-07,4.587717555135583e-07
esm2_top4_bilstm_attn,test,1,evidence_dominated,rsa,88,167,0.08748650251815317,0.06711366368143072,0.10785934135487561,True,7.8366246313468e-08,1.9273860579798885e-07
esm2_top4_bilstm_attn,test,1,evidence_dominated,torsion_change_from_previous,88,167,13.554179574473581,8.92202536485512,18.186333784092042,True,9.203075999074402e-07,2.1202023187741028e-06
esm2_top4_bilstm_attn,test,1,unclassified,absolute_sequence_separation,27,40,-3.9738815542960118,-7.58282199342157,-0.3649411151704536,True,0.052238985896110535,0.07486216876450486
esm2_top4_bilstm_attn,test,1,unclassified,disorder,27,40,-0.04755807239075556,-0.0948311915503436,-0.00028495323116752014,True,0.7011080384254456,0.7828322883032582
esm2_top4_bilstm_attn,test,1,unclassified,neq,27,40,0.9212064558420815,0.5640943837374837,1.2783185279466793,True,4.9233436584472656e-05,9.846687316894531e-05
esm2_top4_bilstm_attn,test,1,unclassified,normalized_query_position,27,40,0.017698802353302717,-0.07537191433475715,0.11076951904136259,True,0.24778856337070465,0.31317721203797394
esm2_top4_bilstm_attn,test,1,unclassified,query_in_any_band,27,40,0.39975444654771536,0.25214176451683445,0.5473671285785963,True,1.049041748046875e-05,2.2461835075827207e-05
esm2_top4_bilstm_attn,test,1,unclassified,rsa,27,40,0.13007982235235582,0.05257707063819318,0.20758257406651848,True,0.0191572904586792,0.02905522386233012
esm2_top4_bilstm_attn,test,1,unclassified,torsion_change_from_previous,27,40,37.220249557632286,20.574799420654774,53.8656996946098,True,0.005924612283706665,0.009802540323951028
esm2_top4_bilstm_attn,test,1,not_magnitude_enriched,absolute_sequence_separation,10,10,0.4054296420845448,-15.357121015005262,16.167980299174353,True,0.75390625,0.8366520579268293
esm2_top4_bilstm_attn,test,1,not_magnitude_enriched,disorder,10,10,-0.003046657736594994,-0.032550504734216994,0.026457189261027005,True,1.0,1.0
esm2_top4_bilstm_attn,test,1,not_magnitude_enriched,neq,10,10,0.7182104286780513,0.3881270326970007,1.0482938246591018,True,0.001953125,0.0033854166666666668
esm2_top4_bilstm_attn,test,1,not_magnitude_enriched,normalized_query_position,10,10,-0.003445816668511614,-0.07839806983112618,0.07150643649410296,True,1.0,1.0
esm2_top4_bilstm_attn,test,1,not_magnitude_enriched,query_in_any_band,10,10,0.20860177746421896,0.028157914036579773,0.3890456408918581,True,0.021484375,0.031789888211382115
esm2_top4_bilstm_attn,test,1,not_magnitude_enriched,rsa,10,10,0.08653941741681087,0.010485232807123213,0.16259360202649853,True,0.109375,0.15054766176912981
esm2_top4_bilstm_attn,test,1,not_magnitude_enriched,torsion_change_from_previous,10,10,13.248626784051229,-6.958987408288312,33.456240976390774,True,0.34375,0.42271959459459457
esm2_top4_bilstm_attn,test,-1,unclassified,absolute_sequence_separation,12,16,-1.7341711384680139,-5.814372144840291,2.3460298679042637,True,1.0,1.0
esm2_top4_bilstm_attn,test,-1,unclassified,disorder,12,16,0.0007885084588411181,-0.055684272820129686,0.05726128973781192,True,0.14599609375,0.19395101505474452
esm2_top4_bilstm_attn,test,-1,unclassified,neq,12,16,-0.5109739228219696,-0.8275553155774955,-0.1943925300664437,True,0.00048828125,0.0009068080357142857
esm2_top4_bilstm_attn,test,-1,unclassified,normalized_query_position,12,16,-0.03849547450157303,-0.12890150935423722,0.05191056035109117,True,0.3876953125,0.4642141241776316
esm2_top4_bilstm_attn,test,-1,unclassified,query_in_any_band,12,16,0.09643270502645503,-0.06196750019974949,0.25483291025265953,True,1.0,1.0
esm2_top4_bilstm_attn,test,-1,unclassified,rsa,12,16,-0.1419306369856411,-0.19608552595574852,-0.08777574801553367,True,0.00634765625,0.01031494140625
esm2_top4_bilstm_attn,test,-1,unclassified,torsion_change_from_previous,12,16,-44.69214528337167,-73.74513549731864,-15.639155069424707,True,0.00634765625,0.01031494140625
esm2_top4_bilstm_attn,test,-1,not_magnitude_enriched,absolute_sequence_separation,41,51,-2.6161500118277172,-9.98727780645966,4.754977782804225,True,1.0,1.0
esm2_top4_bilstm_attn,test,-1,not_magnitude_enriched,disorder,41,51,-0.004623916789904839,-0.024279382981721227,0.01503154940191155,True,2.532080361561384e-05,5.2368025659564985e-05
esm2_top4_bilstm_attn,test,-1,not_magnitude_enriched,neq,41,51,-0.4864596608695039,-0.6618794871574022,-0.31103983458160556,True,9.094947017729282e-13,2.627429138455126e-12
esm2_top4_bilstm_attn,test,-1,not_magnitude_enriched,normalized_query_position,41,51,0.008428490622458353,-0.027613196127707268,0.04447017737262397,True,0.5327092552361137,0.6214941311087993
esm2_top4_bilstm_attn,test,-1,not_magnitude_enriched,query_in_any_band,41,51,0.17268660418385828,0.09141556591587675,0.2539576424518398,True,0.007632078602910042,0.012078593962866327
esm2_top4_bilstm_attn,test,-1,not_magnitude_enriched,rsa,41,51,-0.12573889632386198,-0.1545161860095561,-0.09696160663816786,True,1.0258372640237212e-07,2.489365094030897e-07
esm2_top4_bilstm_attn,test,-1,not_magnitude_enriched,torsion_change_from_previous,41,51,-33.66672643000199,-43.0648014555277,-24.268651404476277,True,1.0479197953827679e-08,2.6489083716619966e-08
esm2_top4_bilstm_attn,test,1,consultation_dominated,absolute_sequence_separation,5,8,-9.554332642367125,,,False,,
esm2_top4_bilstm_attn,test,1,consultation_dominated,disorder,5,8,-0.009207012766720556,,,False,,
esm2_top4_bilstm_attn,test,1,consultation_dominated,neq,5,8,0.3724335391993209,,,False,,
esm2_top4_bilstm_attn,test,1,consultation_dominated,normalized_query_position,5,8,0.03080335036055363,,,False,,
esm2_top4_bilstm_attn,test,1,consultation_dominated,query_in_any_band,5,8,0.1388854199026613,,,False,,
esm2_top4_bilstm_attn,test,1,consultation_dominated,rsa,5,8,0.1706585699175135,,,False,,
esm2_top4_bilstm_attn,test,1,consultation_dominated,torsion_change_from_previous,5,8,31.663389445372342,,,False,,
esm2_top4_bilstm_attn,train,-1,combined,absolute_sequence_separation,531,1861,-1.9712759215256421,-3.0098678261762357,-0.9326840168750488,True,5.979061739514096e-06,1.3270600446238603e-05
esm2_top4_bilstm_attn,train,-1,combined,disorder,531,1861,-0.01821329890245295,-0.020641133293631143,-0.015785464511274754,True,2.690300096905125e-124,6.120432720459159e-123
esm2_top4_bilstm_attn,train,-1,combined,neq,531,1861,-0.3851976342945761,-0.413104587176044,-0.3572906814131082,True,4.798029254568492e-156,1.4554022072191093e-154
esm2_top4_bilstm_attn,train,-1,combined,normalized_query_position,531,1861,-0.0006594406022070509,-0.009876681528694184,0.008557800324280083,True,0.14001188585463015,0.1873688472466374
esm2_top4_bilstm_attn,train,-1,combined,query_in_any_band,531,1861,0.20184572154371336,0.17983373154175006,0.22385771154567666,True,1.5103169093246401e-61,2.1144436730544963e-60
esm2_top4_bilstm_attn,train,-1,combined,rsa,531,1861,-0.15727355957154834,-0.16550227466985062,-0.14904484447324606,True,1.5240204362789822e-121,3.081907993364164e-120
