condition,sign,stage,evaluation_split,n_segments,n_selected_segments,n_proteins,weighted_auroc,weighted_average_precision,macro_within_protein_q8_concordance,n_matched_protein_q8_strata,delta_auroc_from_previous_stage,delta_concordance_from_previous_stage
esm3_top28_bilstm_attn,-1,03_add_geometry_boundaries,test,1723,953,177,0.7935970089831124,0.7778404770868304,0.8252180792943996,274,-0.0023745027557156018,-0.004183438216284974
esm3_top28_bilstm_attn,-1,04_add_disorder,validation,1659,887,180,0.8382950735861168,0.8160636750388325,0.8451554576948278,254,0.016128212592498747,0.015081461080476921
esm3_top28_bilstm_attn,-1,04_add_disorder,test,1723,953,177,0.8176388863751165,0.8096900264535196,0.8449659501559459,274,0.02404187739200414,0.01974787086154628
esm3_top28_bilstm_attn,-1,05_add_sequence,validation,1659,887,180,0.8364713749752639,0.8139868626629163,0.8375816364300617,254,-0.001823698610852853,-0.007573821264766134
esm3_top28_bilstm_attn,-1,05_add_sequence,test,1723,953,177,0.8189871623383722,0.8111925057001579,0.8409755661660986,274,0.0013482759632557073,-0.0039903839898473015
esm3_top28_bilstm_attn,1,00_q8_only,validation,3386,1120,202,0.5,0.5000000000000009,0.5,459,,
esm3_top28_bilstm_attn,1,00_q8_only,test,3666,1153,201,0.5,0.500000000000002,0.5,460,,
esm3_top28_bilstm_attn,1,01_add_neq,validation,3386,1120,202,0.7316843318728835,0.7042055088669972,0.7326183643951133,459,0.2316843318728835,0.2326183643951133
esm3_top28_bilstm_attn,1,01_add_neq,test,3666,1153,201,0.7264755358913644,0.6948559986166524,0.7328796665880724,460,0.22647553589136438,0.23287966658807235
esm3_top28_bilstm_attn,1,02_add_exposure_length_position,validation,3386,1120,202,0.7590789726305334,0.7448635026408345,0.7646316243936414,459,0.027394640757649857,0.03201325999852811
esm3_top28_bilstm_attn,1,02_add_exposure_length_position,test,3666,1153,201,0.7582651606832509,0.7417549886498049,0.768731708191761,460,0.03178962479188652,0.0358520416036886
esm3_top28_bilstm_attn,1,03_add_geometry_boundaries,validation,3386,1120,202,0.7942351648804202,0.7914252697864353,0.7940390834900598,459,0.035156192249886864,0.029407459096418398
esm3_top28_bilstm_attn,1,03_add_geometry_boundaries,test,3666,1153,201,0.805853845482541,0.7979044180084179,0.7987188732158801,460,0.047588684799290126,0.029987165024119133
esm3_top28_bilstm_attn,1,04_add_disorder,validation,3386,1120,202,0.8049207512974902,0.799985107391752,0.8026500770122309,459,0.010685586417069959,0.008610993522171095
esm3_top28_bilstm_attn,1,04_add_disorder,test,3666,1153,201,0.8147011953806904,0.8086002670446993,0.8044715886021281,460,0.008847349898149393,0.005752715386247997
esm3_top28_bilstm_attn,1,05_add_sequence,validation,3386,1120,202,0.8060718710128042,0.8004720575866275,0.7983594306530841,459,0.0011511197153140085,-0.004290646359146777
esm3_top28_bilstm_attn,1,05_add_sequence,test,3666,1153,201,0.8133957032398182,0.806864607556283,0.7982899126173177,460,-0.0013054921408721665,-0.006181675984810342
esm3_top4_bilstm_attn,-1,00_q8_only,validation,1646,908,183,0.5,0.49999999999999983,0.5,256,,
esm3_top4_bilstm_attn,-1,00_q8_only,test,1768,921,181,0.5,0.5000000000000004,0.5,274,,
esm3_top4_bilstm_attn,-1,01_add_neq,validation,1646,908,183,0.6567146055672617,0.6233823338510959,0.675029774657532,256,0.1567146055672617,0.175029774657532
esm3_top4_bilstm_attn,-1,01_add_neq,test,1768,921,181,0.6354111325088831,0.6118282851481556,0.6685985375922044,274,0.13541113250888315,0.16859853759220444
esm3_top4_bilstm_attn,-1,02_add_exposure_length_position,validation,1646,908,183,0.794314985875902,0.7509895530034492,0.7994203955787711,256,0.1376003803086403,0.12439062092123909
esm3_top4_bilstm_attn,-1,02_add_exposure_length_position,test,1768,921,181,0.7901723053420721,0.7421234740116487,0.8121516069803962,274,0.1547611728331889,0.1435530693881918
esm3_top4_bilstm_attn,-1,03_add_geometry_boundaries,validation,1646,908,183,0.7934453707239322,0.751655225315561,0.8001121904439344,256,-0.0008696151519698159,0.0006917948651633532
esm3_top4_bilstm_attn,-1,03_add_geometry_boundaries,test,1768,921,181,0.7883007700380833,0.7476994345226518,0.8024756491719245,274,-0.0018715353039887583,-0.009675957808471747
esm3_top4_bilstm_attn,-1,04_add_disorder,validation,1646,908,183,0.802473354311853,0.7548143096128797,0.8076520328714722,256,0.009027983587920785,0.007539842427537802
esm3_top4_bilstm_attn,-1,04_add_disorder,test,1768,921,181,0.8106154415533428,0.7743595894802364,0.8266151217050207,274,0.022314671515259454,0.02413947253309623
esm3_top4_bilstm_attn,-1,05_add_sequence,validation,1646,908,183,0.8050419582044306,0.7577854454528922,0.810899160412028,256,0.0025686038925776256,0.003247127540555783
esm3_top4_bilstm_attn,-1,05_add_sequence,test,1768,921,181,0.8141358243174841,0.7785582383358238,0.830120740174143,274,0.00352038276414135,0.003505618469122229
esm3_top4_bilstm_attn,1,00_q8_only,validation,3466,1111,204,0.5,0.4999999999999998,0.5,460,,
esm3_top4_bilstm_attn,1,00_q8_only,test,3631,1100,204,0.5,0.5000000000000006,0.5,461,,
esm3_top4_bilstm_attn,1,01_add_neq,validation,3466,1111,204,0.7146664393369313,0.6793377666597847,0.7152296125113119,460,0.2146664393369313,0.2152296125113119
esm3_top4_bilstm_attn,1,01_add_neq,test,3631,1100,204,0.7193642833841949,0.676745053014689,0.7263490057664242,461,0.2193642833841949,0.22634900576642425
esm3_top4_bilstm_attn,1,02_add_exposure_length_position,validation,3466,1111,204,0.7470303987605831,0.7284997785864626,0.7544875528072604,460,0.03236395942365178,0.039257940295948535
esm3_top4_bilstm_attn,1,02_add_exposure_length_position,test,3631,1100,204,0.7534364180411641,0.7274630494601093,0.7655476405009471,461,0.03407213465696923,0.0391986347345229
esm3_top4_bilstm_attn,1,03_add_geometry_boundaries,validation,3466,1111,204,0.7911174842455826,0.7859380703752405,0.8046701291925914,460,0.04408708548499951,0.05018257638533097
esm3_top4_bilstm_attn,1,03_add_geometry_boundaries,test,3631,1100,204,0.8031734764506553,0.7825800876735031,0.8028105336536838,461,0.049737058409491164,0.037262893152736676
esm3_top4_bilstm_attn,1,04_add_disorder,validation,3466,1111,204,0.8066461540959754,0.7995862846353087,0.8056496729686505,460,0.015528669850392807,0.000979543776059133
esm3_top4_bilstm_attn,1,04_add_disorder,test,3631,1100,204,0.8126658456862372,0.7931039101504278,0.8044867867329152,461,0.009492369235581943,0.0016762530792313601
esm3_top4_bilstm_attn,1,05_add_sequence,validation,3466,1111,204,0.8106521395453838,0.803387960762692,0.8043402646575513,460,0.004005985449408445,-0.0013094083110992694
esm3_top4_bilstm_attn,1,05_add_sequence,test,3631,1100,204,0.8114098637346133,0.7928443089428199,0.8039592075895552,461,-0.001255981951623908,-0.0005275791433599908
