condition,sign,stage,evaluation_split,n_segments,n_proteins,weighted_auroc,weighted_average_precision,macro_within_protein_q8_auroc,base_auroc,delta_auroc_from_base
esm3_top4_bilstm_attn,-1,00_biophysical_base,test,1768,181,0.8106154415533428,0.7743595894802364,0.8266151217050207,0.8106154415533428,0.0
esm3_top4_bilstm_attn,-1,01_motif_only,validation,1646,183,0.661264485357413,0.6130497551605215,0.6187496745067977,0.802473354311853,-0.14120886895443996
esm3_top4_bilstm_attn,-1,01_motif_only,test,1768,181,0.664045411623207,0.6159959185713709,0.6442680973074919,0.8106154415533428,-0.1465700299301358
esm3_top4_bilstm_attn,-1,02_base_plus_locked_motifs,validation,1646,183,0.785906706405635,0.7284385175734241,0.7866173214168389,0.802473354311853,-0.01656664790621798
esm3_top4_bilstm_attn,-1,02_base_plus_locked_motifs,test,1768,181,0.8011501229405379,0.7656275314070567,0.8092474416178259,0.8106154415533428,-0.009465318612804863
esm3_top4_bilstm_attn,1,00_biophysical_base,validation,3466,204,0.8066461540959754,0.7995862846353087,0.8056496729686505,0.8066461540959754,0.0
esm3_top4_bilstm_attn,1,00_biophysical_base,test,3631,204,0.8126658456862372,0.7931039101504278,0.8044867867329152,0.8126658456862372,0.0
esm3_top4_bilstm_attn,1,01_motif_only,validation,3466,204,0.5355476117491761,0.5298160485112735,0.5267048126326286,0.8066461540959754,-0.2710985423467993
esm3_top4_bilstm_attn,1,01_motif_only,test,3631,204,0.5196030785737468,0.5166209854721354,0.5169152125037499,0.8126658456862372,-0.29306276711249046
esm3_top4_bilstm_attn,1,02_base_plus_locked_motifs,validation,3466,204,0.8086613523613566,0.8004239200028215,0.8094248536758236,0.8066461540959754,0.002015198265381213
esm3_top4_bilstm_attn,1,02_base_plus_locked_motifs,test,3631,204,0.8121019605632331,0.7928606561345343,0.8013674677778742,0.8126658456862372,-0.0005638851230040931
