condition,sign,stage,evaluation_split,n_segments,n_selected_segments,n_proteins,weighted_auroc,weighted_average_precision,macro_within_protein_q8_concordance,n_matched_protein_q8_strata,delta_auroc_from_previous_stage,delta_concordance_from_previous_stage
esm3_top4_bilstm_attn,1,00_q8_only,validation,6878,1071,206,0.5,0.500000000000002,0.5,489,,
esm3_top4_bilstm_attn,1,00_q8_only,test,7070,1053,204,0.5,0.5000000000000058,0.5,480,,
esm3_top4_bilstm_attn,1,01_add_neq,validation,6878,1071,206,0.7620019712060638,0.7502801585067589,0.7659619279022194,489,0.26200197120606383,0.2659619279022194
esm3_top4_bilstm_attn,1,01_add_neq,test,7070,1053,204,0.7641058822983133,0.7326486160569818,0.7666922868664777,480,0.26410588229831333,0.2666922868664777
esm3_top4_bilstm_attn,1,02_add_exposure_length_position,validation,6878,1071,206,0.8198623857972078,0.8070046961804314,0.8297975648644139,489,0.057860414591143994,0.06383563696219452
esm3_top4_bilstm_attn,1,02_add_exposure_length_position,test,7070,1053,204,0.8059685085774286,0.7854293160684346,0.8117193742929193,480,0.0418626262791153,0.04502708742644157
esm3_top4_bilstm_attn,1,03_add_geometry_boundaries,validation,6878,1071,206,0.8394951959919477,0.8319470929969099,0.8464369367362934,489,0.019632810194739836,0.01663937187187947
esm3_top4_bilstm_attn,1,03_add_geometry_boundaries,test,7070,1053,204,0.826910070257025,0.810564447116548,0.8223626608039429,480,0.020941561679596377,0.010643286511023642
esm3_top4_bilstm_attn,1,04_add_disorder,validation,6878,1071,206,0.8451009224552699,0.8349552306990403,0.8496281667846523,489,0.005605726463322247,0.003191230048358862
esm3_top4_bilstm_attn,1,04_add_disorder,test,7070,1053,204,0.8302288611314289,0.8139377143914472,0.8272286231328546,480,0.0033187908744038985,0.004865962328911677
esm3_top4_bilstm_attn,1,05_add_sequence,validation,6878,1071,206,0.8481774749060061,0.8374207699744219,0.852495883686043,489,0.0030765524507362363,0.00286771690139076
esm3_top4_bilstm_attn,1,05_add_sequence,test,7070,1053,204,0.8301895953338643,0.8150781923776621,0.8279608520820457,480,-3.9265797564635996e-05,0.000732228949191116
