condition,sign,stage,evaluation_split,model_status,n_train_segments,n_segments,n_selected_segments,n_proteins,weighted_auroc,weighted_average_precision,macro_within_protein_q8_concordance,n_matched_protein_q8_strata,delta_auroc_from_previous_stage,delta_concordance_from_previous_stage
esm3_frozen_bilstm_attn,1,05_add_ecod_domain,test,ok,30949,6755,999,199,0.8515621865926264,0.8401376338196549,0.8500602615562856,454,0.005386112955486855,0.004620912716474135
esm3_top28_bilstm_attn,-1,00_q8_only,validation,ok,6833,1416,690,158,0.5,0.4999999999999994,0.5,164,,
esm3_top28_bilstm_attn,-1,00_q8_only,test,ok,6833,1487,692,166,0.5,0.5000000000000006,0.5,169,,
esm3_top28_bilstm_attn,-1,01_base_biophysics,validation,ok,6833,1416,690,158,0.8665764726609194,0.8261999501961539,0.8832891002403197,164,0.3665764726609194,0.3832891002403197
esm3_top28_bilstm_attn,-1,01_base_biophysics,test,ok,6833,1487,692,166,0.846913462518196,0.81467078225659,0.8633444405431403,169,0.346913462518196,0.3633444405431403
esm3_top28_bilstm_attn,-1,02_add_local_sequence_or_annotation_geometry,validation,ok,6833,1416,690,158,0.8724578507567721,0.8416123083414484,0.8928445553712321,164,0.005881378095852652,0.009555455130912383
esm3_top28_bilstm_attn,-1,02_add_local_sequence_or_annotation_geometry,test,ok,6833,1487,692,166,0.8520652819722314,0.8206160784867685,0.8592448450184147,169,0.005151819454035422,-0.004099595524725608
esm3_top28_bilstm_attn,-1,03_add_experimental_pdb_geometry,validation,ok,6833,1416,690,158,0.8777723536714409,0.8522298287534642,0.9023702808878115,164,0.005314502914668839,0.009525725516579375
esm3_top28_bilstm_attn,-1,03_add_experimental_pdb_geometry,test,ok,6833,1487,692,166,0.858123672793972,0.8306047580496037,0.8608518718210161,169,0.0060583908217405336,0.0016070268026013856
esm3_top28_bilstm_attn,-1,04_add_contact_network,validation,ok,6833,1416,690,158,0.8771873303190539,0.8518157983799445,0.8985919987025169,164,-0.0005850233523869708,-0.0037782821852945236
